Year,Quintile,Income,Race,Dollar
2022,Lowest fifth,16120,All Races,Nominal
2022,Second fifth,43850,All Races,Nominal
2022,Middle fifth,74730,All Races,Nominal
2022,Fourth fifth,119900,All Races,Nominal
2022,Highest fifth,277300,All Races,Nominal
2022,Top 5 percent,499900,All Races,Nominal
2021,Lowest fifth,14860,All Races,Nominal
2021,Second fifth,41030,All Races,Nominal
2021,Middle fifth,70880,All Races,Nominal
2021,Fourth fifth,115500,All Races,Nominal
2021,Highest fifth,269400,All Races,Nominal
2021,Top 5 percent,480200,All Races,Nominal
2020,Lowest fifth,14670,All Races,Nominal
2020,Second fifth,39740,All Races,Nominal
2020,Middle fifth,68240,All Races,Nominal
2020,Fourth fifth,110300,All Races,Nominal
2020,Highest fifth,254400,All Races,Nominal
2020,Top 5 percent,447600,All Races,Nominal
2019,Lowest fifth,15290,All Races,Nominal
2019,Second fifth,40650,All Races,Nominal
2019,Middle fifth,68940,All Races,Nominal
2019,Fourth fifth,111100,All Races,Nominal
2019,Highest fifth,254400,All Races,Nominal
2019,Top 5 percent,451100,All Races,Nominal
2018,Lowest fifth,13780,All Races,Nominal
2018,Second fifth,37290,All Races,Nominal
2018,Middle fifth,63570,All Races,Nominal
2018,Fourth fifth,101600,All Races,Nominal
2018,Highest fifth,233900,All Races,Nominal
2018,Top 5 percent,416500,All Races,Nominal
2017,Lowest fifth,13780,All Races,Nominal
2017,Second fifth,37290,All Races,Nominal
2017,Middle fifth,63570,All Races,Nominal
2017,Fourth fifth,101600,All Races,Nominal
2017,Highest fifth,233900,All Races,Nominal
2017,Top 5 percent,416500,All Races,Nominal
2016,Lowest fifth,12940,All Races,Nominal
2016,Second fifth,34500,All Races,Nominal
2016,Middle fifth,59150,All Races,Nominal
2016,Fourth fifth,95180,All Races,Nominal
2016,Highest fifth,213900,All Races,Nominal
2016,Top 5 percent,375100,All Races,Nominal
2015,Lowest fifth,12460,All Races,Nominal
2015,Second fifth,32630,All Races,Nominal
2015,Middle fifth,56830,All Races,Nominal
2015,Fourth fifth,92030,All Races,Nominal
2015,Highest fifth,202400,All Races,Nominal
2015,Top 5 percent,350900,All Races,Nominal
2014,Lowest fifth,11680,All Races,Nominal
